fecha,titulo,cuerpo,fuente,neg,neu,pos,compound
2026-08-26 00:51:41+00:00,Panel 'gag' on Delhi crackdown discussion sparks Opposition clash in Parliament,"Security personnel stop Cockroach Janata Party (CJP) supporters as they raise slogans during a protest march, at Sansad Marg, in New Delhi on July 20. PTI

Tempers ran high at a meeting of the standing committee on home affairs on Tuesday after chairman and BJP MP Radha Mohan Das Agrawal did not ...",The Telegraph,0.092,0.794,0.113,0.3612
2026-08-26 01:24:24+00:00,Philippine authorities uncover 'groomers' inciting kids to violence,"MANILA - The National Bureau of Investigation has identified a group of ""groomers"" who allegedly recruit minors to carry out acts of violence, Director Melvin Matibag said on Tuesday.

At a press briefing, Matibag said that based on their initial investigation, the supposed groomers, who have a ...",asianews.network,0.141,0.859,0.0,-0.8481
2026-08-25 21:35:52+00:00,NBI uncovers 'groomers' inciting kids to violence,"MANILA, Philippines -- The National Bureau of Investigation has identified a group of ""groomers"" who allegedly recruit minors to carry out acts of violence, Director Melvin Matibag said on Tuesday.

At a press briefing, Matibag said that based on their initial investigation, the supposed groomers, ...",Inquirer.net,0.143,0.857,0.0,-0.8481
2026-08-25 15:23:37+00:00,Jesse Watters (@JesseBWatters),"SAVE AMERICA ACT ! SAVE AMERICA'S CHILDREN Social Media Addiction Lawsuit ✅You may be entitled to compensation , talk to an attorney today about getting justice from social media addiction it wont cost you a dime to sign up to join the lawsuit against social media talk to an attorney today ! ...",Nitter,0.059,0.693,0.249,0.9239
2026-08-25 13:25:53+00:00,OpenAI Suspends Russian ChatGPT Accounts Over Covert Social Media Influence Campaign - Meta Platforms (NA,"OpenAI Uncovers a Covert Russian Influence Machine Using ChatGPT to Build Fake Expertise and Spread Pro-Moscow Narratives Across Social Media

OpenAI has terminated a number of ChatGPT accounts from Russia, accusing them of participating in a clandestine online misinformation operation.

The Sam ...",Benzinga,0.122,0.856,0.022,-0.7003
2026-08-25 13:25:07+00:00,Palace open to limiting social media,"MALACAÑANG on Tuesday said it is open to considering restrictions on social media platforms that fail to respond promptly to government requests involving violent content and disinformation.

Palace Press Officer Clarissa A. Castro made the statement after the Cybercrime Investigation and ...",BusinessWorld,0.139,0.861,0.0,-0.8126
2026-08-25 12:05:34+00:00,Why Payment Infrastructure Is Becoming Critical to Global Advertising Growth,"As advertising budgets expand across markets, platforms, currencies, and accounts, payment infrastructure is becoming critical to campaign continuity, capital efficiency, and scalable global growth

SINGAPORE, Aug. 25, 2026 (GLOBE NEWSWIRE) -- WasabiCard, a global payment infrastructure platform for ...",The Manila times,0.082,0.745,0.174,0.6369
2026-08-25 10:13:43+00:00,School shooting socmed posts irk Erwin Tulfo: Crime is not entertainment,"MANILA, Philippines - Crime is not entertainment, and a child's face should not be turned into a viral material.

So said Sen. Erwin Tulfo as he blasted social media giants on Tuesday for allowing the spread and posting content from the recent school shootings in Zamboanga City and Tacloban City ...",Inquirer.net,0.175,0.825,0.0,-0.8925
2026-08-25 06:47:25+00:00,"Sumit Sarkar: Engaged Scholarship, Ways of Historical Thinking, Enduring Legacy","The eminent historian, who passed away recently, transformed how modern Indian history was understood, bringing ordinary people and their experiences to the centre of historical scholarship.

Scholar of modern India with a path-breaking approach to research and discipline, historian Sumit Sarkar ...",NewsClick,0.0,0.949,0.051,0.4019
2026-08-25 04:07:37+00:00,"Facebook, TikTok promoted Colombian armed groups' content to recruit children: HRW - THE LOCAL REPORT ARTICLES","Since 2021, around 1,500 children have been recruited by armed groups, according to the non-governmental organization.

Armed groups use children for combat, handling weapons, drones and explosives, and intelligence gathering, the HRW report said.

In some cases, children without combat training are ...",THE LOCAL REPORT ARTICLES,0.116,0.796,0.089,-0.2023
2026-08-24 21:31:15+00:00,"While Congress debates, school children die: the case for a Presidential summit","The recent shooting rampages involving minors in Tacloban and Zamboanga are not isolated tragedies. They are warning signals. And neither the Senate nor the House of Representatives have answers for them today.

Other countries did not wait for a perfect solution. Australia drew a hard line: no one ...",Inquirer,0.185,0.719,0.096,-0.7375
2026-08-24 20:10:46+00:00,"Facebook, TikTok promoted Colombian armed groups' content to recruit children: HRW","What actions are social media platforms taking to combat child recruitment by armed groups?

Armed groups use children for combat, handling weapons, drones and explosives, and intelligence gathering, the HRW report said.

In some cases, children without combat training are used as ""cannon fodder,"" ...",Hindustan Times,0.153,0.758,0.089,-0.4939
2026-08-24 11:13:37+00:00,"Facebook, TikTok promoted Colombian armed groups' content to recruit children: NGO","In some cases, children without combat training are used as ""cannon fodder,"" according to a new Human Rights Watch report.

(AFP) -- Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and in some cases even ""appeared to promote these ...",Court House News Service,0.049,0.823,0.128,0.5
2026-08-24 14:50:25+00:00,Why Facebook Leads the Social Media Landscape,"Get personalized, AI-powered answers built on 27+ years of trusted expertise.

What began as a college networking project in 2004 has evolved into Meta (META), one of the world's largest social media companies. Since its 2012 IPO, Facebook's platform has grown to billions of active users and a ...",Investopedia,0.0,0.9,0.1,0.7003
2026-08-24 13:31:24+00:00,HRW: Facebook and TikTok promoted content used by Colombian armed groups to recruit children,"Human Rights Watch reports Facebook and TikTok failed to curb content by Colombian armed groups recruiting children, with platforms even promoting some posts.

BOGOTA: Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and in some cases ...",thesun.my,0.096,0.812,0.093,-0.296
2026-08-24 12:29:00+00:00,"Colombian armed groups used Facebook, TikTok to recruit children -- NGO","BOGOTÁ, Colombia -- Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and in some cases even ""appeared to promote these posts,"" Human Rights Watch reported on Monday.

Human Rights Watch (HRW) said the circulation of social media ...",The Manila times,0.052,0.889,0.059,-0.1531
2026-08-24 12:15:27+00:00,"Facebook, TikTok Promoted Colombian Armed Groups' Content To Recruit Children: NGO","Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and in some cases even ""appeared to promote these posts,"" Human Rights Watch reported on Monday.

Bogotá: Facebook and TikTok failed to prevent the spread of content produced by ...",Deccan Chronicle,0.098,0.789,0.113,-0.25
2026-08-24 11:40:00+00:00,"Facebook, TikTok Promoted Colombian Armed Groups' Content to Recruit Children: NGO","Bogotá. Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and, in some cases, even ""appeared to promote these posts,"" Human Rights Watch reported on Monday.

Human Rights Watch (HRW) said the circulation of social media content by ...",Jakarta Globe,0.051,0.849,0.1,0.296
2026-08-24 11:30:18+00:00,"Facebook and TikTok promoted Colombian armed groups' child‑recruitment content, says Human Rights Watch","BOGOTA, Aug 24 -- Facebook and TikTok failed to prevent the spread of content produced by Colombian armed groups to recruit children and in some cases even ""appeared to promote these posts,"" Human Rights Watch reported today.

Human Rights Watch (HRW) said the circulation of social media content by ...",Malay Mail,0.048,0.858,0.094,0.296
2026-08-24 10:23:34+00:00,"OTT Releases This Week: Alpha, Bandar, Michael, Batman: Knightfall Part 1 And More -- Here's What To Watch","Indian Game Show, Zuckerberg: From Geek to Guru, Chumbak and many other shows are releasing this week.

A fresh lineup of movies, series and documentaries is arriving on Netflix, Prime Video, JioHotstar, ZEE5, SonyLIV, Apple TV and discovery+, offering plenty of options for your watchlist this week. ...",NDTV Profit,0.027,0.938,0.035,0.128
2026-08-24 10:17:53+00:00,Sources ap facebook,"This page contains reference examples for Facebook, including the following: Facebook post; Facebook page. Cite a temporary post (e.g., Facebook Story) or a ...

This page contains reference examples for Facebook posts and pages.

http s://guides.himmelfarb.gwu.edu "" ...

Facebook - APA Citation ...",mussichwissen.de,0.0,1.0,0.0,0.0
2026-08-24 10:17:53+00:00,District ftc facebook,"The Commission vote to authorize staff to file for a permanent injunction and other equitable relief in the U.S. District Court for the District of Columbia was ...

The Federal Trade Commission has sued Facebook, alleging that the company is illegally maintaining its personal social networking ...",mussichwissen.de,0.0,0.939,0.061,0.4767
2026-08-24 09:47:11+00:00,"Meta restricts posts by Indian Youth Congress, AAP, Opposition leaders","In the fourth story in our Instagram censorship series, we examine posts by Opposition parties and leaders that have been removed or geo-blocked in India, with little transparency about the process or any meaningful mechanism for redressal

Amid growing concerns over a government-ordered Instagram ...",Alt News,0.039,0.847,0.114,0.5267
2026-08-24 00:00:00+00:00,"Dodgy Facebook hacks won't grow your 'manhood' or 'third leg', but they can grow your engagement","IN SHORT: Strange home remedies supposed to improve sexual health and cure weak erections should not be trusted. They are being shared by the same accounts that previously posted dubious concoctions as fake penile enhancement methods.

In April 2026, Africa Check debunked nonsensical but extremely ...",Africa Check,0.212,0.653,0.135,-0.6406
2026-08-24 09:06:47+00:00,Colombia: Armed Groups Expand Child Recruitment,"(Washington, DC) - Child recruitment by armed groups has increased in Colombia as the government has failed to respond effectively, Human Rights Watch said in a report released today.

Recruitment and Use of Children by Colombian Armed Groups

Download the full report in English

Appendix I: Letter ...",Caribbean Herald,0.056,0.819,0.125,0.4588
2026-08-24 07:55:00+00:00,AI and automation: The real questions that only a few are asking,"AI came with a huge number of effects, challenges, and future possibilities for our society, politics, state, and even philosophy. In previous technological revolutions, we saw that the requirement for human labour and human skills in several sectors became obsolete.

From inventing the wheel to the ...",The Business Standard,0.037,0.882,0.082,0.1779
2026-08-24 00:00:00+00:00,Are restaurant workers trashing rivals anonymously on Facebook?,"The Reddit-like feature has turned off some of the administrators.

Even when you're scarfing down a cup of noodles in some far off Houston suburb, you're never quite alone. Across the social media aether, and specifically on Facebook's large and small neighborhood foodie pages, there are colorful ...",Chron,0.0,0.965,0.035,0.2398
2026-08-23 18:52:48+00:00,Athawale demands sedition charges against those demanding end to reservation,"The remarks come days after an anti-reservation demonstration at Delhi's Jantar Mantar, organised under the banner of the ""Reservation Hatao Andolan.""

New Delhi: Union Minister of State for Social Justice and Empowerment and Republican Party of India (Athawale) chief Ramdas Athawale on Sunday ...",NewsDrum,0.109,0.77,0.12,0.1779
2026-08-22 13:08:34+00:00,"Is This The End Of Instagram As We Know It? Addictive Feeds, Children, Algorithms And A $1.4 Trillion Threat While India Asks: Who Controls Your Feed?","For years, the logic behind Instagram and Facebook has been brutally simple: keep people watching, keep them scrolling and keep them coming back. Now that very formula is at the centre of a courtroom battle that could force Meta to rethink how its platforms work.

At the heart of the case are ...",Inventiva,0.123,0.877,0.0,-0.885
2026-08-22 07:28:39+00:00,Why smartphones prices are increasing so much - Techzim,"Most of you have noticed that the prices of smartphones and laptops have been going up. Especially the entry level ones. This is the case wherever you buy your devices from.

As Techzim, we sell smartphones to our community and are seeing this first hand. We retailed the Samsung Galaxy A07 with ...",Techzim,0.0,0.949,0.051,0.4939
2026-08-22 04:51:36+00:00,Likes before lives,"A jury trial began in the US this week and could have a tremendous impact on Meta (Facebook) and on how young people use the social media platform.

The trial stems from a lawsuit filed in 2023 by 30 US states, in which they claim that Meta violated state and federal privacy laws for children. Meta ...",The Malta Independent Online,0.085,0.87,0.045,-0.3612
2026-08-21 20:00:34+00:00,What's with the 6th Street billboard calling out Alamo Drafthouse?,"AUSTIN (KXAN) -- Love it or hate it, the change in how to order food at Alamo Drafthouse movie theatres is a hot topic. Hot enough that celebrities, fans and film critics have addressed it, and a billboard went up near downtown Austin.

Yes, a billboard.

In mid-July, a billboard reading ""MAKE ...",KXAN.com,0.087,0.811,0.102,0.25
2026-08-21 16:25:37+00:00,Tech tries a new message: You'd love data centers if China wasn't making you hate data centers,"It sure is convenient to blame other nations when your fellow citizens don't agree with you. But it's not terribly helpful.

There are lots of theories: People are worried about the environment. Or electric bills. Or their jobs. Or imperious Big Tech billionaires ordering them around. All of the ...",Yahoo Tech,0.117,0.751,0.131,0.2691
2026-08-21 16:25:37+00:00,Tech responds to America's anti-AI backlash by blaming China. Good luck with that.,"Everyone* hates data centers now.

How did that happen?

There are lots of theories: People are worried about the environment. Or electric bills. Or their jobs. Or imperious Big Tech billionaires ordering them around. All of the above.

Also: It's China's fault.

That last one doesn't come up in ...",Business Insider,0.149,0.771,0.08,-0.6249
2026-08-21 08:30:14+00:00,"How ""Argentina's Elon Musk"" Is Bringing Technocracy To Patagonia - The Washington Standard","Javier Milei's administration has been showcasing Patagonia to Silicon Valley executives, culminating in OpenAI's 'Stargate Argentina' announcement. The focus of this piece, Emiliano Kargieman, is the man actually developing OpenAI's Argentine project and boasts significant ties to United States' ...",The Washington Standard,0.0,0.916,0.084,0.5574
2026-08-21 07:10:20+00:00,Delhi HC leaves children's social media ban to government,"The Delhi High Court (HC) has left the question of banning or restricting children's access to social media to the government, calling it a policy decision. A division bench of Justices V Kameswar Rao and Manmeet Pritam Singh Arora disposed of a public interest litigation (PIL) seeking to restrict ...",MediaNama,0.167,0.786,0.047,-0.765
2026-08-21 06:52:11+00:00,"Media under pressure: Battles 29 US states over alleged Facebook, Instagram harm to children","....Zuckerberg, Mosseri expected to testify

...FCCPC previously secured $220m fine against Meta, WhatsApp

By Juliet Umeh

Social media is facing one of its biggest legal tests as Meta Platforms, parent company of Facebook and Instagram, battles 29 US states over allegations that it deliberately ...",Vanguard,0.158,0.755,0.087,-0.7096
2026-08-20 15:09:12+00:00,Australia passes 2.5 per cent levy threat for Big Tech news deals,"MUMBAI: Australia is making Big Tech pay attention and potentially pay up. The country has passed legislation requiring major technology platforms including Google, Meta, TikTok and LinkedIn to either strike commercial agreements with local news publishers or face a levy on their Australian ...",Indian Television Dot Com,0.129,0.836,0.035,-0.5574
2026-08-20 13:23:57+00:00,DICT seeks jurisdiction over online platforms for content regulation,"THE Department of Information and Communications Technology (DICT) said its anti-cybercrime division should be granted jurisdiction over social media platforms to effectively regulate violent content following a livestreamed shooting incident in Zamboanga on Tuesday.

DICT Cybercrime Investigation ...",BusinessWorld,0.075,0.83,0.095,0.0
2026-08-20 10:46:02+00:00,'It's in the realm of policy': Delhi HC asks Centre to consider curbs on children's social media access,"The Delhi High Court on Thursday said any decision to restrict or prohibit children's access to social media falls within the government's policy domain and should be addressed by the executive after consultation with relevant stakeholders.

A Division Bench of Justices V Kameswar Rao and Manmeet ...",storyboard18.com,0.04,0.96,0.0,-0.3818
2026-08-20 05:44:43+00:00,Valerie Madon joins Fabulate to lead creative strategy across three key Asian markets,"Fabulate has appointed former McCann Worldgroup APAC chief creative officer Valerie Madon as Director of Creative Strategy for Southeast Asia, Japan and South Korea, strengthening its regional leadership team as it expands its creator marketing offering across APAC.

Based in Singapore, Madon will ...",Campaign Brief Asia,0.0,0.796,0.204,0.9062
2026-08-20 05:32:31+00:00,5 Reasons Why Apple Will Not Repeat Meta's Ray Ban Glasses Mistakes,"Apple wants to bring AirPods with built-in cameras to make Siri get smarter but can it avoid the lapses that Meta has made?

Apple has always prioritised privacy of its users and their data which is why Siri never got as good as Google's Assistant (now Gemini) or even ChatGPT for that matter. The ...",News18,0.136,0.821,0.043,-0.7788
2026-08-20 01:34:49+00:00,Fabulate hires Valerie Madon as director of creative strategy,"APAC creator marketing platform Fabulate has appointed Valerie Madon as its new director of creative strategy for Southeast Asia, Japan and South Korea. Madon, who has held senior roles at McCann Worldgroup and Meta, will lead the company's creative strategy as it expands across the region.

The ...",Mumbrella,0.0,0.84,0.16,0.8442
2026-08-19 21:00:28+00:00,"Tinsel Magazine Publishes 'Who Keeps the Money,' Part Three of Its 'Talent First' Series","Third Installment Traces a Gifted Dollar Through App Stores, Platforms, and Agencies, and Reviews Published Revenue Splits Across the Industry

A business does not renegotiate against itself, which is why the correction is arriving from outside the platforms entirely.""

-- Tinsel Magazine

NEW YORK ...",WBOC TV-16,0.0,0.931,0.069,0.4767
2026-08-19 21:00:00+00:00,Why AI companies are gobbling up books,"Some of the world's frontier model developers have faced backlash for damaging books to train AI models. Now, the original digital bookseller, Amazon, has been caught joining its peers.

The news: Sales of secondhand books are reportedly booming, which some business owners worry could be related to ...",BetaKit,0.101,0.833,0.065,-0.4939
