fecha,titulo,cuerpo,fuente
2026-07-31 14:52:00+00:00,"Apple earnings takeaways: Weak forecast, supply concerns overshadow sales beat in Cook's last report as CEO - CNBC","<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE4yeUZhX2VEczgwYkZOeFV5NGJmT0dGOU1kUDlMODljMGVHOFNpanNydjdDZ0RDS3V0ekI4V3VOeG1vTm9obUpwYUhKRFdyamoyUE1PemhaanFiRnk1YXd2Q2JGR2FOZmVwdkZEblF6UDRYZ9IBd0FVX3lxTFBScU1PdzhuQUxKdmRLeTA4Vi0yV0g3UnBpUmwwLU9yTi0zbkI5UEFzdjVPUVVsdHU2QXVQRG1sb0tPZXBhZnlwZ0hlZDhQNTdIMF9JWmdsdUI3UzN1Vm4zZ2lQT01oV3dOYmk1OVg3ZG5mQzZXNy00?oc=5"" target=""_blank"">Apple earnings takeaways: Weak forecast, supply concerns overshadow sales beat in Cook's last report as CEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC
2026-07-31 13:52:46+00:00,Apple stock price falls: 3 reasons why AAPL shares are down after a record-breaking quarter - Fast Company,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPQW5ZMl9mcnpHSG01MkVNMmI1RHlQVnRnWno3dktKRUNLcG5aVHliVzBScHNleGx4bDZqVFYzWTFLRFBGZDRTMHRlMDR0YnhKb29RUEFHZ1pQemVFTmVycmFEeXlOWW9uaUVZT29LRmh2RFZfR1VUZmY5ZXVycm16N1ZHeGd5TFJuMkg3NQ?oc=5"" target=""_blank"">Apple stock price falls: 3 reasons why AAPL shares are down after a record-breaking quarter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fast Company</font>",Fast Company
2026-07-31 20:33:24+00:00,Apple stock falls on weak revenue forecast as CEO Tim Cook flags 'increasing impact' from memory shortage - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNUlBuUW9uS2NyYUZJTFhqWUJYLVA3UllKZThEbzFtRm1yTHdVMXR3aERlYjM4cElURlRhNFNxdlFGWF9VaDNPZ1ZlSXNqTVo3ZHpzcTB6SHVLbDdjOC0yUWd2WWl3NjR4NlhmR21xUnlYbGRGc3dDb09lNWFiZGlXUGluRWNkOTY0eTdIeEltSlYxYm5KMHBXRURTNkJNX1Nhbjl0bFd5ZHZvYkxYaGpJTGZZZXU0dWhjeW83ZHE0Q2hYeUZ1MWJUSTVOUU9ZbTgtellWTXdsa2lQb1RJMldlcjcyOHptMTZuNWRTVUkxYnMzZGlCaHc?oc=5"" target=""_blank"">Apple stock falls on weak revenue forecast as CEO Tim Cook flags 'increasing impact' from memory shortage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
2026-07-31 16:51:37+00:00,Apple stock plunges: $300 support hangs by a thread after guidance miss (AAPL:NASDAQ) - Seeking Alpha,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOVFlQOVVZYjBlWG1uMmZTSUxRallxeFhoM3QxVzVHZXRUcV9SVTh5UzMzbHFBRG1XQTB5VmdBMmoxNllkYmEyUWl6UXU2ZWF6WG4yMDhhMmYwU1lCRjB5QzlybnN3dV9BUGRxS0RabTBfTENoZjAtMFlDUFl6cmZPQ3JGXzhxNDZEd3M5OGRQNHZua0F0YjFTSE5MQzY3dDdUZ2R3UFAySkJKa1U?oc=5"" target=""_blank"">Apple stock plunges: $300 support hangs by a thread after guidance miss (AAPL:NASDAQ)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font>",Seeking Alpha
2026-07-31 02:20:19+00:00,AAPL Stock Slides 6% On Forecast Miss: Retail Mood Turns Dim But Traders Urge A Closer Look - Stocktwits,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOU1E3c01QS2FkRm1IdGVOeTItYWFBbkFiTk42TkE2cVB1bllDRTRsbHEtMWlNWERvZWRZaFVXN1dnTFJpWkZneWhfSUl3dURIYWF6cGx6NHlfQWlFaGhBV2gtNzUwR05aNjdpdU9TdzVYNWNlTEdoZlAtUS13cE03a1RTdXF5Qm9WbWI5eEgzS19wN1lpR0hHb1Z1dnM3Nk1WZ0hWcTVPRkZYYklaVkI0RVVSa0tiZE9fVGxJekhJZTUxWTNqVEdpWEpIajVLSDhtNWpkUjlCem5JZnY2clJ0X3V5RXdvS1A3?oc=5"" target=""_blank"">AAPL Stock Slides 6% On Forecast Miss: Retail Mood Turns Dim But Traders Urge A Closer Look</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stocktwits</font>",Stocktwits
2026-07-31 09:30:24+00:00,Earn 8.4% On AAPL Stock By Selling Upside You Might Not Miss - Trefis,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxObExaVzlDNEpzSFNoS3I5QzYtaHg5RDZCdWpoeEdjQzR1SU1vZGlUd1RiWGMyUXNmd29Ca2V5UnZiLW5JTVNNN20yTlhxS19sMVpJUVdiN3hsWXM2d3dGYVNWc1pkRTJRdVNUMGFrQVpWQnhQY1VEejVTRWxrOXd3SFEwM0FMbzlKX00zb0VMWVY1NXNkOVpkMTJHMW4tUnBRSGlTUVFhLXphWEJNZDAwQ2QyZFVENHdDdS1SaA?oc=5"" target=""_blank"">Earn 8.4% On AAPL Stock By Selling Upside You Might Not Miss</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trefis</font>",Trefis
2026-07-30 23:07:39+00:00,"AAPL Stock Drops 7% After-Hours — Apple's Q3 China Sales Slow, Tim Cook Flags Memory Supply Constraints Affecting Q4 Revenue - Yahoo Finance","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxON0IwbTE2QmJhSUV0ejlFUGIwalBvLWNpYktGQVI3Rk90YkRzNkY3WDFYbURERnhsZ2p1WnhCbW1SMTMxMFB0aFJkaTY3VXVSeE8wUGZkN0huZ0tvQkdNano3NjBYVTNJYUkzZ1ZGTE01WFFtVFFWc0ctallzcFR2T0h1X1FCS3NubDUydEp1d09lenc?oc=5"" target=""_blank"">AAPL Stock Drops 7% After-Hours — Apple's Q3 China Sales Slow, Tim Cook Flags Memory Supply Constraints Affecting Q4 Revenue</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
2026-07-30 21:54:00+00:00,Apple Stock Falls As iPhone Maker Guides Below Views - Investor's Business Daily,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPakdzc3FIcUxlZkI1TmFFdEk0VUZLSC1sMDc1RjlPeTZvVUhxNTdLM01SUTRlM3VhVVN0dm0xSEt6aTBiZ1QzREMxUy1xX1ZicE83bUZsVmFsMHdsQjlNcWtTdC03SGt3YnVfa1BDbENrLTZCRXNJU0V6LWRueDEzREY1am05ektqZUxr?oc=5"" target=""_blank"">Apple Stock Falls As iPhone Maker Guides Below Views</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investor's Business Daily</font>",Investor's Business Daily
2026-08-02 11:00:36+00:00,"Gene Munster Sees AAPL Stock Slump as Temporary, Steve Jobs' Critique of Microsoft and More: This Week in - Benzinga","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQMms4N2FkQkJmNXRYUHV4UFdfV2NGY0RNc2k5d2M2YXVFdjJWVGtTeVlnY2NOc0hGbml3NExLNWQ4LW83a0hDN19ORUxrWlRJaFQ5ODFNUkRkc3lBb1I2NFgybU1jelFoS1l5N2hVLWhVZGZTbTNkNk9fUHlTZTRPYVM3WEZsMERHV3dhNE5WLW1CbmFDUEVXekJMRnVsZjg?oc=5"" target=""_blank"">Gene Munster Sees AAPL Stock Slump as Temporary, Steve Jobs' Critique of Microsoft and More: This Week in</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Benzinga</font>",Benzinga
2026-07-30 20:40:42+00:00,Apple Slides After Supply Shortages Hurt Sales Forecast - Bloomberg.com,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWXkwcFhMQnEyUjhWdnFFallUTU5tTktyQVZxMzNUQnhMOVEzZ25iM3VhLUxTQkZrZDF1M28wLXZPUDZfcFMzdTFpMXY5QzJPenNTTnkyS0xJam9SNjdRZUwxYUFaaEpnUXRMbzhWU01hMjE1NjBzeWlEOVNxRzJhZUNYMUk2dlBaSmtRS1FTSlR3Ym4tZzcyeVBLQ2ltSlRyQmkxQWdoQUNjRW8?oc=5"" target=""_blank"">Apple Slides After Supply Shortages Hurt Sales Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg.com</font>",Bloomberg.com
