fecha,titulo,cuerpo,fuente
2026-07-30 20:03:14+00:00,Microsoft's stock rockets more than 15% for largest single-day jump in history - Yahoo Finance,"<ol><li><a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQY1d4clZGd29SUlVkemdZNzFwbm5nVUM2WFhjVXQwZWNqb25tMzVnQ0dvcXhYek92M3ZxODE1R2NjNjJrQXBCRzdVMjNOWkV3Sk9oX3RUTmtDbVdPV2tKMGd4TUFFcGFzYTBkYlA4ZVlrN3hneUx5LUY4SWRfRUhLaXZHMEFJcFJBUkJmNGZid0xLdkFCMkhxVUFPRDhHUmpwaktCNVRhWnlGZ0d4b3lHVU1WMVNicFFUNTZ1cXR3MFhKZnpYcEZEaWpjTGUxYWpRTVE?oc=5"" target=""_blank"">Microsoft's stock rockets more than 15% for largest single-day jump in history</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font></li><li><a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxPVXRNeXM0cW5QczFzR3BlVzdQMVdxcW5TX0lHZHJCNngzZUp4X0U1b2UxV19hY1JKUkJpSndhRWI5WURVS0dIM01sZGlZVjFkRUVEbk9pOUlQWEFzSXNLTUgxc1JHV1JMdVg5LTF6SXd4dkxRc2VSUlZleEw3VUItR3NXcFNZUDR4YUE?oc=5"" target=""_blank"">Microsoft: I’m More Bullish Than Ever (NASDAQ:MSFT)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font></li><li><a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxON0RNX1kwc1NhNnZwajJYWnkyTzJjbTJveFdFU1Ryc2w3QS1pSThaaEVUbHpYODNON0xtZUQtOTlGeHpzd0RnMW9hbFN0eVZzdng0bUVZVTVtMGFrTnh6ZnJMZHg0dzBqdjFyblVoVUF2cjhFSm1KcGEzcjFMZTFhRWh2M1V1TVFCTk9nNUxuX0dkaG14V0ZLYjEybXFaUzl6djN4cjliMkVxbS1ELWRnd0NwQkJMX2s?oc=5"" target=""_blank"">Microsoft Stock Eyes Best Week Since 2000: History Has a Warning for Buyers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Benzinga</font></li></ol>",Yahoo Finance
2026-07-30 17:36:22+00:00,Microsoft Stock (NASDAQ:MSFT) Explodes Upward as AI Costs Spike - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOcEJHREt5V2kxX1BrZ3g0SGFva282Q1c4WGlxMzYxOUhBMENwaWZPT2RQNjhtTEZKRHpJUk1ieFVDS1pOLURHdEZXVmt2dHphVy1TM241RTNCNl9aR0ZsMnhPNFRleFB4T1BnMlEtT2NnRHh0cGp5ZDd2aFJHTkc0MWFBdmJLSmw5cVNuQUJIS2lqYXA0?oc=5"" target=""_blank"">Microsoft Stock (NASDAQ:MSFT) Explodes Upward as AI Costs Spike</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",TipRanks
2026-07-30 08:52:21+00:00,Microsoft: What We Think of the Stock After Earnings - Morningstar,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOcHkyUHdZLVBrcjBsMThaU1U5c3BxMUJGYnQ0NHJVcVhKUGxVRUVCLUhtakhTbGp1djNsci1vZ2lIZ2dSaWFRUHJBbVpnTFI5MUpBSDcwWUNVMEZuYUhpdldLVkRGSTNFelUtVmM5cS1NWWZ4ZXZYenlqY2hDVlNnc0lLMkVqTXd4TW8wbS1vaEs4dw?oc=5"" target=""_blank"">Microsoft: What We Think of the Stock After Earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Morningstar</font>",Morningstar
2026-07-30 08:53:39+00:00,"Meta sinks 8%, continuing record losing streak, while Microsoft jumps 15% as AI trade splits - CNBC","<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxQbEhaSmdSUW5LUVdqcFkxMG5YWWF1U0JjREdaR01PTWJBdG9JYl9UQXNlX1Z3Z2RZTkdOelRKb3pRU05OTVdBQmNhbUNTS2trdk5ELXpvNmdfbG5EWkU1YTNEWUFiOE5JOXF6Mk5GRzV1RUtDeUJkM3ZJeVF1eVJxbEtoQdIBiAFBVV95cUxQbXVGMzQ4WGhlbzJYbmpWdlVCZ0Y1U3lwUDNuRWJCSlM1ZGpBbFJ1T18yX19MSlBxbzBhOGVpMG9KX0R6SzVpQkV6MmMyQWN0Zkh3cXM2d2lWR05mM05oSTdMN0NjN0d4c3lsWXVjNVlGRzlqV2djSUxrN2E2andWTWRCcmpOeVVF?oc=5"" target=""_blank"">Meta sinks 8%, continuing record losing streak, while Microsoft jumps 15% as AI trade splits</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC
2026-07-30 01:30:00+00:00,Microsoft earnings impress Wall Street. Here's why the stock is soaring. - MarketWatch,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxORFB4OExaZmw0R1lXMjN1alBod0pWY0doNktFbDduRld1Q19BU2FtZjFGNktFRTVtNkY2NDZ5bnBNa2lqNkRkc2V2MXBkQ1J4RDBIalhWSUVBOXNsNTlwcm9Fdjd4QjhLVWtlaVphMTBiVGxhSGRQMWE4dEREUW1sT3gzSFRfdTM4N29uMjlfcHdKUQ?oc=5"" target=""_blank"">Microsoft earnings impress Wall Street. Here's why the stock is soaring.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketWatch</font>",MarketWatch
2026-07-31 21:02:26+00:00,Microsoft (NASDAQ:MSFT) Stock Price Up 3% After Analyst Upgrade - MarketBeat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQZlRHUGdDdHJyMTItYklrVGZ2dlIzZUQwS2NtbGkwSkFFTGJnSDVwNGhQSkdhSzhmYVI5UDF0RnNxelhmbzlySGNULTdWQlBZbEtZcDlrV2lhZnV1Y0FjcUxsc2U3RlJsMTZvejh4VlJma0xfeUNJVGRsT1p4d0VyTE1hOXZkR2lOUmNjUWI0V1RuWG50alZHQ1B0MXZYRkJ5Vm9CYTVOdjFkczlnakNac1RLaw?oc=5"" target=""_blank"">Microsoft (NASDAQ:MSFT) Stock Price Up 3% After Analyst Upgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",MarketBeat
2026-07-30 02:06:00+00:00,"MSFT Stock Soars After Results: CFO Dismisses AI Overcapacity Narrative, Says Can Rein In Spending If Demand Changes - Stocktwits","<a href=""https://news.google.com/rss/articles/CBMiigJBVV95cUxNZGh2MUotZUdqam1tQ2UtbFVpWTUzb2Q2TFZVLWFVMEtRS21ZTkNoQlNNd0xaWnBkUDVINnEwRGpHS1EzSmd2YmZVVW9RMjB0N3FGVXpnaGplNUxlcS1DUlMzdFltdklzbFAzbmlzSkxqZkhjbkFJbE9LbDhhTnVTY2ZYa1BpelI4VG45OGkzMVFkR1JNXzVPbmFvU19YSVh3elJaVFUwTUlsVjJtb2ZxblljWDd0MFpyX3lZdm9SemxBWE1CTm1xTDNEMms0RGxiZ29PbHd6QlhHLTRUenBLaVN6bXlLem5qT29xM1A3cWN4bThKaEdRVkRlZXZoLVRoSWRNUUVRRWg3UQ?oc=5"" target=""_blank"">MSFT Stock Soars After Results: CFO Dismisses AI Overcapacity Narrative, Says Can Rein In Spending If Demand Changes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stocktwits</font>",Stocktwits
2026-07-30 02:12:00+00:00,Is Microsoft a Buy After Its Latest Earnings Report? - fool.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPVG95dWc2VHllZWR0aFZmTDFDeU9VS3lra2ZJNnUwVnBoS1JnTW1hcEZncVJoNjU5aUl6YW5BU3NDbDlXV0t4cHlVLVB1R3NZaUNhOTJFcjNyNkhtUWUwSWw2Z3BCQ0F0UUZBMmN5RDA5ckU1UkphallfbHcwQjJHUDByOGRHbDlfSF9CcGZQa19LMUFsLTdwcXdR?oc=5"" target=""_blank"">Is Microsoft a Buy After Its Latest Earnings Report?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">fool.com</font>",fool.com
2026-07-30 11:45:42+00:00,"Stocks making the biggest moves premarket: Meta, Microsoft, Teladoc, Norwegian Cruise Line & more - CNBC","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPdUhlcmZQcWh2WFVILXRfODZqRW1ueV85bHlHM04wSl9KNXYyRGUtZHZ1YTJQRG14b2QwN2RmMVc5aTBGSGZfVDFZMHlYa2FCU2VTYXNfakFsbTNOcktGWExhSnBmanpiMHBLNXVGeUhoSjA4RjRrX3dDQzdJNHk1OWZBam1XOUd4M3JsYUduRDJMZFFSUHpXVTB4dGFlcTg?oc=5"" target=""_blank"">Stocks making the biggest moves premarket: Meta, Microsoft, Teladoc, Norwegian Cruise Line & more</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC
2026-07-30 23:12:00+00:00,Microsoft Q4 Earnings Crush Expectations: Time to Buy MSFT Stock? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZDVpUzlNLXQwRFlaSUQ0RGloVkJ5Sk5RUjROSXhVMl96MDZJbFpmSWZFSEpsT3d4SFdfSU50UkdILVF4QjA2UEI4X1ZHeVotQ3FIN0RUQ0RRWE1GRlpHUHQ1LUlLNHRXQjdNdTBuUEJqU3V3YTdHUU9FMkhid2hzWFZVOVNmS25iOXhJZkcxQ21Rbi04djdGNU53NU9HbXg4YVh4bGhiRGE?oc=5"" target=""_blank"">Microsoft Q4 Earnings Crush Expectations: Time to Buy MSFT Stock?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance
