ticker,variante,auc,ece,precision_top20,n_p65,prec_p65
AAPL,raw,0.4669124736241881,0.1416,0.3634,0,
AAPL,isotonica,0.45518728892463817,0.1149,0.3211,0,
MSFT,raw,0.5527827292533174,0.1493,0.3944,206,0.3981
MSFT,isotonica,0.513135714442904,0.0827,0.3803,27,0.4444
GOOGL,raw,0.586948538687089,0.0815,0.431,11,0.6364
GOOGL,isotonica,0.540380227284195,0.1188,0.4,0,
AMZN,raw,0.5510423890885401,0.1148,0.372,64,0.4375
AMZN,isotonica,0.5318627450980392,0.0487,0.3639,22,0.6364
META,raw,0.5420018913829825,0.0902,0.3699,40,0.3
META,isotonica,0.5105050329308298,0.1018,0.3943,27,0.4074
TSLA,raw,0.5685462193495434,0.0971,0.4632,168,0.5238
TSLA,isotonica,0.5540874115112342,0.0251,0.4807,4,0.75
NVDA,raw,0.5063101946721311,0.0953,0.462,23,0.3043
NVDA,isotonica,0.46898437499999995,0.0683,0.4479,0,
