ticker,modelo,auc,acc,precision_top20
AAPL,rf_best,0.5271,0.5681,0.3644
AAPL,rf_ensemble5,,,
AAPL,hist_gbm,0.4877,0.6132,0.3446
MSFT,rf_best,0.5713,0.6126,0.4209
MSFT,rf_ensemble5,,,
MSFT,hist_gbm,0.5505,0.6509,0.4011
GOOGL,rf_best,0.63,0.6441,0.4831
GOOGL,rf_ensemble5,,,
GOOGL,hist_gbm,0.5858,0.6216,0.4407
AMZN,rf_best,0.5674,0.5931,0.3998
AMZN,rf_ensemble5,,,
AMZN,hist_gbm,0.5548,0.5991,0.3676
META,rf_best,0.5921,0.598,0.4106
META,rf_ensemble5,,,
META,hist_gbm,0.5596,0.5891,0.4106
TSLA,rf_best,0.5806,0.5502,0.5018
TSLA,rf_ensemble5,,,
TSLA,hist_gbm,0.5494,0.5382,0.4702
NVDA,rf_best,0.5177,0.5349,0.4859
NVDA,rf_ensemble5,,,
NVDA,hist_gbm,0.5005,0.5186,0.4548
