ticker,bucket,n_dias,precision_real,pct_dias
AAPL,"[0.50,0.55)",63,0.3651,7.1
AAPL,"[0.55,0.60)",5,0.8,0.6
AAPL,"[0.60,0.70)",0,,0.0
AAPL,"[0.70,1.01)",0,,0.0
MSFT,"[0.50,0.55)",96,0.3333,10.8
MSFT,"[0.55,0.60)",40,0.425,4.5
MSFT,"[0.60,0.70)",49,0.3878,5.5
MSFT,"[0.70,1.01)",15,0.6,1.7
GOOGL,"[0.50,0.55)",25,0.4,2.8
GOOGL,"[0.55,0.60)",15,0.6,1.7
GOOGL,"[0.60,0.70)",29,0.6897,3.3
GOOGL,"[0.70,1.01)",5,0.8,0.6
AMZN,"[0.50,0.55)",119,0.4622,12.8
AMZN,"[0.55,0.60)",48,0.3958,5.2
AMZN,"[0.60,0.70)",30,0.3667,3.2
AMZN,"[0.70,1.01)",3,0.6667,0.3
META,"[0.50,0.55)",1,0.0,0.2
META,"[0.55,0.60)",2,1.0,0.3
META,"[0.60,0.70)",3,1.0,0.5
META,"[0.70,1.01)",0,,0.0
TSLA,"[0.50,0.55)",81,0.5309,11.4
TSLA,"[0.55,0.60)",46,0.587,6.5
TSLA,"[0.60,0.70)",26,0.5769,3.6
TSLA,"[0.70,1.01)",3,0.6667,0.4
NVDA,"[0.50,0.55)",7,0.4286,0.8
NVDA,"[0.55,0.60)",2,0.0,0.2
NVDA,"[0.60,0.70)",0,,0.0
NVDA,"[0.70,1.01)",0,,0.0
