ticker,threshold,n_trades,win_rate,total_return,sharpe,max_drawdown,buy_hold_return
AAPL,0.55,8,0.5437,0.3846,0.767,-0.1406,0.6337
AAPL,0.6,3,0.5386,0.2381,0.518,-0.1736,0.6337
AAPL,0.65,1,0.5503,0.116,0.667,-0.0645,0.6337
AAPL,0.7,0,0.5477,0.0,0.0,0.0,0.6337
AAPL,0.75,0,0.5468,0.0,0.0,0.0,0.6337
MSFT,0.55,10,0.4727,-0.0284,0.069,-0.2763,0.4439
MSFT,0.6,4,0.355,0.3162,0.45,-0.3127,0.4439
MSFT,0.65,1,0.2297,0.5546,0.619,-0.3127,0.4439
MSFT,0.7,1,0.0476,0.5964,0.649,-0.3127,0.4439
MSFT,0.75,0,0.0,0.0,0.0,0.0,0.4439
GOOGL,0.55,12,0.5663,0.0325,0.146,-0.2249,1.651
GOOGL,0.6,4,0.6154,0.1428,0.308,-0.2015,1.651
GOOGL,0.65,3,0.6731,0.4415,0.744,-0.2015,1.651
GOOGL,0.7,0,0.6712,0.0,0.0,0.0,1.651
GOOGL,0.75,0,0.7407,0.0,0.0,0.0,1.651
AMZN,0.55,6,0.5264,0.3617,0.546,-0.3527,0.9137
AMZN,0.6,1,0.5595,-0.0614,-0.092,-0.2096,0.9137
AMZN,0.65,1,0.5789,0.0542,0.181,-0.1882,0.9137
AMZN,0.7,0,0.0,0.0,0.0,0.0,0.9137
AMZN,0.75,0,0.0,0.0,0.0,0.0,0.9137
META,0.55,11,0.5856,0.165,0.388,-0.2969,0.8833
META,0.6,2,0.7444,0.5053,1.218,-0.1726,0.8833
META,0.65,0,0.7576,0.0,0.0,0.0,0.8833
META,0.7,0,0.6364,0.0,0.0,0.0,0.8833
META,0.75,0,0.0,0.0,0.0,0.0,0.8833
TSLA,0.55,11,0.508,1.6613,1.241,-0.299,1.0435
TSLA,0.6,2,0.4557,1.1823,0.927,-0.3233,1.0435
TSLA,0.65,1,0.3333,-0.0903,0.085,-0.5377,1.0435
TSLA,0.7,0,0.0,0.0,0.0,0.0,1.0435
TSLA,0.75,0,0.0,0.0,0.0,0.0,1.0435
NVDA,0.55,5,0.6496,1.1715,0.936,-0.2403,11.4358
NVDA,0.6,0,0.5758,0.0,0.0,0.0,11.4358
NVDA,0.65,0,0.0,0.0,0.0,0.0,11.4358
NVDA,0.7,0,0.0,0.0,0.0,0.0,11.4358
NVDA,0.75,0,0.0,0.0,0.0,0.0,11.4358
