feature,importance,ticker
ma_200,0.09488860363783617,AAPL
ma_50,0.08564516875470268,AAPL
obv_change,0.05776584606299791,AAPL
bb_width,0.055079184251580815,AAPL
rsi_ma,0.05030386343598991,AAPL
atr_ratio,0.04961903258775967,AAPL
momentum_21,0.047576150746603096,AAPL
hl_range,0.03696667216745899,AAPL
vol_ratio,0.03632260690163739,AAPL
momentum_63,0.03576696353959165,AAPL
bb_position,0.033720216992362925,AAPL
sentiment_ma5,0.0335415594139746,AAPL
week_of_year,0.031156016277283254,AAPL
vwap_ratio,0.029458558825037985,AAPL
drawdown,0.02931754553992138,AAPL
sentiment_score,0.028641074755211826,AAPL
volatility,0.02819910278744447,AAPL
volume_ratio,0.028194305861765755,AAPL
volatility_21,0.02441855829503307,AAPL
sentiment_vol,0.023841427183794974,AAPL
momentum_10,0.02366561999770419,AAPL
log_volume,0.021507804606804674,AAPL
rsi,0.021022891369918164,AAPL
lag_20,0.020828882902307624,AAPL
rsi_change,0.016035653348249284,AAPL
return,0.01375946668515206,AAPL
lag_1,0.013102256836955891,AAPL
oc_range,0.01265442309185985,AAPL
lag_5,0.012371027813605582,AAPL
quarter,0.003313597808111517,AAPL
day_of_week,0.0013159175213425672,AAPL
ma_50,0.05721469931407974,MSFT
ma_200,0.056276933792285495,MSFT
bb_position,0.053887659306240426,MSFT
bb_width,0.045773036369191354,MSFT
atr_ratio,0.044110516634657,MSFT
week_of_year,0.04340366883475025,MSFT
sentiment_score,0.043247772763151324,MSFT
sentiment_ma5,0.039954074328729106,MSFT
volatility,0.03971505676414974,MSFT
drawdown,0.03836654089956728,MSFT
volatility_21,0.03706175850006042,MSFT
rsi_ma,0.03611102604201089,MSFT
momentum_21,0.0353672270633755,MSFT
momentum_63,0.03526189994407106,MSFT
rsi,0.032899179341189994,MSFT
vol_ratio,0.03197592973530095,MSFT
momentum_10,0.031543477919328794,MSFT
sentiment_vol,0.030454885526672065,MSFT
obv_change,0.029588837096105023,MSFT
rsi_change,0.026742528271466837,MSFT
log_volume,0.025569903065642066,MSFT
vwap_ratio,0.022274443209947686,MSFT
hl_range,0.022105793551131993,MSFT
volume_ratio,0.021967373861366074,MSFT
lag_5,0.021558457235328555,MSFT
lag_1,0.02144075899607566,MSFT
oc_range,0.019917615637560088,MSFT
return,0.018962712351509894,MSFT
lag_20,0.018540983253258366,MSFT
quarter,0.013581666521902366,MSFT
day_of_week,0.005123583869894076,MSFT
ma_200,0.059468314886298626,GOOGL
momentum_63,0.05569322457417623,GOOGL
week_of_year,0.049399319027944484,GOOGL
ma_50,0.04917670705271013,GOOGL
rsi,0.04635105693171432,GOOGL
bb_position,0.042080724656759695,GOOGL
vol_ratio,0.04177451205027352,GOOGL
atr_ratio,0.039899675290495845,GOOGL
drawdown,0.039103004076730924,GOOGL
bb_width,0.03904212432493419,GOOGL
momentum_10,0.03840678332126792,GOOGL
rsi_ma,0.03736870473525182,GOOGL
rsi_change,0.037099000743761684,GOOGL
sentiment_vol,0.03598546610363836,GOOGL
obv_change,0.032887794013972835,GOOGL
sentiment_ma5,0.03241697780145334,GOOGL
momentum_21,0.03217956276255092,GOOGL
volatility_21,0.027666369343869256,GOOGL
lag_5,0.027284403773032363,GOOGL
lag_20,0.026482099180814903,GOOGL
volatility,0.025379500275417462,GOOGL
sentiment_score,0.025139504334674226,GOOGL
log_volume,0.0250509155909681,GOOGL
lag_1,0.02490420536071828,GOOGL
volume_ratio,0.0212302690418476,GOOGL
hl_range,0.020935670106211956,GOOGL
return,0.019892481583002126,GOOGL
vwap_ratio,0.019854806787530533,GOOGL
oc_range,0.01740832826420851,GOOGL
day_of_week,0.006621944694106821,GOOGL
quarter,0.003816549309663024,GOOGL
ma_50,0.05576142569370541,AMZN
ma_200,0.0507059624693426,AMZN
bb_width,0.0498771344652684,AMZN
momentum_63,0.04978383138516105,AMZN
rsi,0.047594732739151775,AMZN
week_of_year,0.04343529975086119,AMZN
momentum_21,0.04217826569690538,AMZN
rsi_ma,0.04140618764129942,AMZN
atr_ratio,0.04087423750123925,AMZN
sentiment_ma5,0.039418842618848954,AMZN
momentum_10,0.03757583171899249,AMZN
drawdown,0.03533647325342419,AMZN
volatility_21,0.03501483178594248,AMZN
bb_position,0.03392478563715425,AMZN
volatility,0.033589176923339265,AMZN
sentiment_vol,0.03269807061549991,AMZN
rsi_change,0.0317083600105394,AMZN
obv_change,0.031107964149398967,AMZN
vol_ratio,0.029299136191046342,AMZN
sentiment_score,0.02793226562708098,AMZN
log_volume,0.024729504738579353,AMZN
hl_range,0.02374722222094762,AMZN
lag_20,0.023323683744094888,AMZN
volume_ratio,0.022982711918099117,AMZN
vwap_ratio,0.022475224453692905,AMZN
lag_1,0.02077777464668148,AMZN
lag_5,0.019898629722559753,AMZN
return,0.019155442555460717,AMZN
oc_range,0.017623270144023578,AMZN
quarter,0.010907025546193393,AMZN
day_of_week,0.005156694435465669,AMZN
ma_200,0.056352965959038236,META
week_of_year,0.05458027550790517,META
sentiment_ma5,0.04752184268291146,META
atr_ratio,0.04651052131965118,META
momentum_63,0.043997608254403894,META
sentiment_score,0.04341148980232903,META
ma_50,0.04029198144828507,META
obv_change,0.03896286555387096,META
bb_width,0.03799243888205546,META
sentiment_vol,0.03765266722092205,META
rsi_change,0.03746912584459774,META
rsi_ma,0.03710876296023252,META
vol_ratio,0.036111825242600634,META
rsi,0.033174205832398995,META
bb_position,0.030639984397730576,META
volatility_21,0.03050096019840451,META
log_volume,0.030372180124035544,META
lag_1,0.02948988048562455,META
volume_ratio,0.029438859041104246,META
momentum_10,0.027968040679836804,META
